transaction_amount,transaction_hour,product_category,quantity,payment_method,device_type,customer_age,customer_gender,is_holiday,label_is_fraud
8552.65,0.0,,1,unknown,unknown,32.0,F,False,0.0
9139.49,7.0,entertainment,1,unknown,unknown,30.0,M,False,
7568.37,11.0,entertainment,1,unknown,unknown,61.0,M,False,0.0
9074.0,18.0,entertainment,1,unknown,unknown,29.0,F,False,0.0
5056.81,18.0,entertainment,1,unknown,unknown,31.0,M,False,0.0
353.55,12.0,fitness_and_medical,1,unknown,unknown,49.0,M,False,0.0
7292.34,21.0,,1,unknown,unknown,78.0,M,False,1.0
8760.33,1.0,fitness_and_medical,1,unknown,unknown,24.0,F,False,0.0
6729.28,20.0,entertainment,1,unknown,unknown,85.0,F,False,
8186.72,7.0,travel,1,unknown,unknown,53.0,M,False,1.0
200.08,10.0,online_shopping,1,unknown,unknown,38.0,M,False,0.0
9211.65,9.0,travel,1,unknown,unknown,86.0,F,False,0.0
9776.22,16.0,online_shopping,1,unknown,unknown,53.0,F,False,1.0
9182.83,6.0,fitness_and_medical,1,unknown,unknown,38.0,F,False,0.0
4333.7,1.0,entertainment,1,unknown,unknown,75.0,M,False,1.0
4402.57,1.0,entertainment,1,unknown,unknown,25.0,F,False,1.0
542.89,6.0,fitness_and_medical,1,unknown,unknown,20.0,M,False,1.0
2476.03,11.0,fitness_and_medical,1,unknown,unknown,32.0,F,False,1.0
,0.0,entertainment,1,unknown,unknown,73.0,F,False,
3500.9,23.0,travel,1,unknown,unknown,47.0,M,False,1.0
2967.16,23.0,travel,1,unknown,unknown,86.0,M,False,0.0
8250.53,5.0,entertainment,1,unknown,unknown,72.0,F,False,1.0
2771.66,,fitness_and_medical,1,unknown,unknown,44.0,F,False,1.0
5742.23,19.0,entertainment,1,unknown,unknown,68.0,,False,0.0
2907.72,16.0,travel,1,unknown,unknown,81.0,M,False,1.0
1174.31,14.0,online_shopping,1,unknown,unknown,61.0,F,False,1.0
9299.57,11.0,travel,1,unknown,unknown,85.0,M,False,0.0
4945.28,15.0,entertainment,1,unknown,unknown,53.0,M,False,1.0
7850.53,12.0,online_shopping,1,unknown,unknown,68.0,F,False,1.0
6340.55,18.0,travel,1,unknown,unknown,35.0,,False,0.0
6275.84,,travel,1,unknown,unknown,51.0,M,False,0.0
1767.67,0.0,online_shopping,1,unknown,unknown,53.0,M,False,1.0
4552.75,10.0,online_shopping,1,unknown,unknown,27.0,M,False,0.0
9364.33,,entertainment,1,unknown,unknown,81.0,M,False,0.0
1407.04,6.0,travel,1,unknown,unknown,81.0,F,False,1.0
6221.5,14.0,travel,1,unknown,unknown,56.0,M,False,1.0
7241.17,19.0,fitness_and_medical,1,unknown,unknown,76.0,M,False,0.0
7275.83,11.0,travel,1,unknown,unknown,82.0,F,False,0.0
8860.76,5.0,online_shopping,1,unknown,unknown,73.0,F,False,0.0
4149.2,15.0,fitness_and_medical,1,unknown,unknown,79.0,M,False,0.0
4844.46,23.0,online_shopping,1,unknown,unknown,53.0,M,False,1.0
2748.3,0.0,online_shopping,1,unknown,unknown,85.0,,False,1.0
1878.2,2.0,entertainment,1,unknown,unknown,48.0,F,False,1.0
848.78,7.0,entertainment,1,unknown,unknown,35.0,F,False,0.0
6317.48,8.0,travel,1,unknown,unknown,37.0,,False,0.0
,11.0,entertainment,1,unknown,unknown,63.0,F,False,
676.93,12.0,fitness_and_medical,1,unknown,unknown,81.0,F,False,1.0
9157.91,0.0,entertainment,1,unknown,unknown,32.0,M,False,1.0
8223.16,16.0,entertainment,1,unknown,unknown,53.0,M,False,0.0
9809.51,3.0,entertainment,1,unknown,unknown,20.0,M,False,1.0
9472.65,21.0,online_shopping,1,unknown,unknown,27.0,M,False,1.0
6925.05,19.0,fitness_and_medical,1,unknown,unknown,85.0,F,False,0.0
6522.83,0.0,online_shopping,1,unknown,unknown,71.0,F,False,0.0
6827.46,4.0,,1,unknown,unknown,53.0,F,False,1.0
9363.93,5.0,online_shopping,1,unknown,unknown,41.0,F,False,1.0
4552.11,8.0,online_shopping,1,unknown,unknown,64.0,M,False,0.0
6434.21,3.0,travel,1,unknown,unknown,37.0,F,False,1.0
7808.89,,fitness_and_medical,1,unknown,unknown,77.0,M,False,0.0
9918.18,12.0,entertainment,1,unknown,unknown,72.0,F,False,0.0
1149.95,4.0,travel,1,unknown,unknown,43.0,F,False,0.0
4346.33,2.0,online_shopping,1,unknown,unknown,37.0,M,False,0.0
1085.91,17.0,fitness_and_medical,1,unknown,unknown,59.0,F,False,0.0
5470.96,,entertainment,1,unknown,unknown,35.0,F,False,1.0
7481.89,2.0,online_shopping,1,unknown,unknown,86.0,F,False,0.0
1869.38,20.0,entertainment,1,unknown,unknown,78.0,F,False,1.0
8156.97,7.0,fitness_and_medical,1,unknown,unknown,46.0,M,False,0.0
5730.37,20.0,online_shopping,1,unknown,unknown,46.0,F,False,1.0
7391.11,7.0,entertainment,1,unknown,unknown,71.0,M,False,1.0
9560.09,9.0,online_shopping,1,unknown,unknown,40.0,M,False,0.0
4225.45,0.0,online_shopping,1,unknown,unknown,19.0,F,False,0.0
2754.94,10.0,fitness_and_medical,1,unknown,unknown,40.0,M,False,0.0
4702.0,8.0,online_shopping,1,unknown,unknown,53.0,M,False,0.0
2000.4,15.0,online_shopping,1,unknown,unknown,50.0,F,False,1.0
432.21,7.0,online_shopping,1,unknown,unknown,77.0,F,False,1.0
5479.84,22.0,online_shopping,1,unknown,unknown,69.0,,False,1.0
1980.75,3.0,fitness_and_medical,1,unknown,unknown,61.0,F,False,1.0
3859.14,10.0,entertainment,1,unknown,unknown,49.0,F,False,1.0
2714.89,11.0,fitness_and_medical,1,unknown,unknown,68.0,M,False,0.0
5545.06,22.0,fitness_and_medical,1,unknown,unknown,53.0,M,False,0.0
7391.58,12.0,travel,1,unknown,unknown,85.0,F,False,0.0
4680.19,15.0,,1,unknown,unknown,41.0,M,False,1.0
7629.93,0.0,travel,1,unknown,unknown,71.0,F,False,0.0
7293.97,18.0,entertainment,1,unknown,unknown,19.0,M,False,1.0
3702.2,7.0,online_shopping,1,unknown,unknown,53.0,M,False,0.0
6378.34,19.0,entertainment,1,unknown,unknown,54.0,M,False,
9815.23,11.0,fitness_and_medical,1,unknown,unknown,53.0,M,False,0.0
2828.15,22.0,entertainment,1,unknown,unknown,53.0,F,False,0.0
,0.0,online_shopping,1,unknown,unknown,53.0,,False,0.0
4343.1,5.0,entertainment,1,unknown,unknown,78.0,M,False,1.0
9124.27,10.0,travel,1,unknown,unknown,50.0,M,False,1.0
